"","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"9028",1.2,2.88,-88.3,3,0.11,0.02,0.03,-10,4,24,31,567,-426,88.7,12.2,119,31,-0.55,0.06,-0.05,-233,166,-109,-435,318,479,32.81313569,105.7916776,37.90295158,26,-0.02,0.11,-0.13,219,81,93,371,348,325,170,16.3,-17.5,27,-0.66,3.74,1.16,187,115,156,448,-565,-23,"B"
"4228",108,33.2,-15.1,16,0.06,0,-0.21,-32,54,-144,38,618,-307,146,-41.1,111,32,0.22,-0.51,0.77,-306,-41,-70,-437,273,506,-48.22106668,-9.288126826,107.8191361,2,-0.05,0.19,0,-2,-10,19,-546,297,-80,-0.78,-1.93,-82.2,1,-0.05,0.06,-0.03,4,-1,-3,62,601,453,"A"
"3009",1.5,7,-93.7,3,0.02,0.02,0.03,-17,3,28,0,603,-310,54.7,-44.9,-7.3,35,1.12,-0.45,0.28,131,-21,-317,676,-238,-230,52.71429169,-34.20058522,92.15198152,2,0.02,-0.14,0.02,-8,12,19,-555,289,-53,-22.6,44.4,78.3,33,-0.77,0.11,-0.36,-101,-243,-189,-280,-473,162,"A"
"18881",138,22.4,14.7,25,-0.66,-0.06,-0.98,-44,72,-226,5,539,-449,35.6,-34.1,170,22,-3.79,1.36,-0.13,35,69,201,93,300,576,-69.68975774,-53.73931273,60.76789802,26,0.19,-1.38,0.61,-130,-163,145,15,-741,-58,-177,34.5,-146,32,1.38,-5.59,-0.77,-127,230,-167,-509,-279,195,"E"
"7908",126,-43.6,164,18,0.1,0.11,-0.18,50,42,-159,166,604,-307,11.6,-9.07,-19,4,3.07,-1.38,0.21,33,-22,11,664,155,238,98.23221819,-10.28042627,-57.70138772,19,0.95,-0.88,-0.03,-19,154,-101,-445,396,113,0,0,0,31,1.24,-1.14,0.07,-302,33,15,-363,-397,278,"B"
"18404",160,-34,146,25,0.1,0.14,-0.16,67,48,-233,145,499,-505,-39.2,-54.3,-0.31,19,1.78,-0.87,0.59,128,-99,-97,758,-4,31,76.28421196,-17.62338011,-77.72080503,20,0.14,-0.05,-0.2,-34,134,-136,-464,398,51,0,0,0,44,1.08,2.14,1.35,-346,253,6,-705,325,563,"E"
"6477",1.42,7.44,-92.5,3,0.03,0,0.02,-22,1,25,17,607,-303,89.7,-46.3,27.9,12,2.42,-1.32,0.05,48,78,-72,683,32,258,-5.474490654,16.48989946,139.6888913,2,0,-0.11,-0.07,3,-1,18,-551,294,-29,86.2,22.8,124,31,-0.31,2.54,0.79,-47,268,-145,-631,595,686,"B"
"1800",1.4,4.09,-87.8,3,-0.02,0,-0.08,-11,5,24,55,569,-431,68.8,41.8,80,28,-1.12,0.26,-0.07,-206,164,-64,-309,242,597,-108.6589552,-48.204795,4.215746149,2,0.27,-0.5,-0.28,-11,-21,1,-408,260,310,162,-46.2,113,42,-0.34,2.44,0.56,58,362,182,-101,681,-270,"A"
"6476",1.4,7.36,-92.5,3,0.06,0,-0.02,-21,2,27,16,611,-296,96.6,-50,19,18,2.42,-1.27,-0.05,39,95,-145,715,4,200,5.835429696,11.69084965,144.0013693,2,0.02,-0.06,-0.03,2,1,17,-552,301,-22,84.7,29.7,125,34,-0.4,2.5,0.36,-112,259,-179,-661,541,675,"B"
"8710",125,-43.8,167,18,0.16,0.11,-0.16,55,43,-159,166,603,-318,44.7,-36.9,-25.4,25,0.71,-0.59,0.79,161,-101,-148,752,-43,-138,48.31326855,-30.64327265,-98.37495881,17,0.13,0.05,-0.25,-50,77,-138,-562,256,56,0,0,0,42,1,0.66,0.56,-394,122,29,-554,-156,415,"B"
